run_label,stage_family,action,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
PLR_UED,insertion,1,4,1.0,1.0,1.0,0.0010382375136638,1.0,0.0
PLR_UED,removal,0,185,0.5081081081081081,0.5081081081081081,0.0,0.006859007976480933,1.0,0.0
PLR_UED,removal,1,9,0.8888888888888888,0.8888888888888888,1.0,0.8618551260377798,0.0,1.0
PLR_UED,unknown,0,2,,0.0,0.0,0.0010426923399790501,0.0,0.0
PPO,removal,0,198,0.5,0.5,0.0,,1.0,0.0
PPO,removal,1,1,1.0,1.0,1.0,,0.0,1.0
PPO_NEW_v3,insertion,0,1,1.0,1.0,0.0,,0.0,1.0
PPO_NEW_v3,removal,0,197,0.49746192893401014,0.49746192893401014,0.0,,1.0,0.0
PPO_NEW_v3,removal,1,2,1.0,1.0,1.0,,0.0,1.0
PPO_NEW_v3_1,insertion,0,1,1.0,1.0,0.0,,0.0,1.0
PPO_NEW_v3_1,removal,0,196,0.49489795918367346,0.49489795918367346,0.0,,1.0,0.0
PPO_NEW_v3_1,removal,1,2,1.0,1.0,1.0,,0.0,1.0
